Posiciones de Personaje 

posicion1:(X: 511,2882, Y: 25,95671, Z: 485,9373)
posicion2:(X: 511,2882, Y: 25,95671, Z: 485,9373)
posicion3:(X: 511,2882, Y: 25,95671, Z: 485,9373)
posicion1:(X: 511,2882, Y: 25,95671, Z: 485,9373)
posicion2:(X: 511,2882, Y: 25,95671, Z: 485,9373)
posicion3:(X: 511,2882, Y: 25,95671, Z: 485,9373)
posicion4:(X: 511,2882, Y: 25,95671, Z: 485,9373)
posicion5:(X: 511,2882, Y: 25,95671, Z: 485,9373)
posicion6:(X: 511,2882, Y: 25,95671, Z: 485,9373)
posicion7:(X: 511,2882, Y: 25,95671, Z: 485,9373)
posicion8:(X: 511,2882, Y: 25,95671, Z: 485,9373)
posicion9:(X: 511,2882, Y: 25,95671, Z: 485,9373)
posicion10:(X: 511,2882, Y: 25,95671, Z: 485,9373)
posicion11:(X: 511,2882, Y: 25,95671, Z: 485,9373)
posicion12:(X: 511,2882, Y: 25,95671, Z: 485,9373)
posicion13:(X: 511,2882, Y: 25,95671, Z: 485,9373)
posicion14:(X: 511,2882, Y: 25,95671, Z: 485,9373)
posicion15:(X: 511,2882, Y: 25,95671, Z: 485,9373)
posicion16:(X: 511,2882, Y: 25,95671, Z: 485,9373)
posicion17:(X: 511,2882, Y: 25,95671, Z: 485,9373)
posicion18:(X: 511,2882, Y: 25,95671, Z: 485,9373)
posicion19:(X: 511,2882, Y: 25,95671, Z: 485,9373)
posicion20:(X: 511,2882, Y: 25,95671, Z: 485,9373)
posicion21:(X: 511,2882, Y: 25,95671, Z: 485,9373)
posicion22:(X: 511,2882, Y: 25,95671, Z: 485,9373)
posicion23:(X: 511,2882, Y: 25,95671, Z: 485,9373)
posicion24:(X: 511,2882, Y: 25,95671, Z: 485,9373)
posicion25:(X: 511,2882, Y: 25,95671, Z: 485,9373)
posicion26:(X: 511,2882, Y: 25,95671, Z: 485,9373)
posicion27:(X: 511,2882, Y: 25,95671, Z: 485,9373)
posicion28:(X: 511,2882, Y: 25,95671, Z: 485,9373)
posicion29:(X: 511,2882, Y: 25,95671, Z: 485,9373)
posicion30:(X: 511,2882, Y: 25,95671, Z: 485,9373)
